scope,n_glm,n_codex,glm_total,glm_mean,glm_std,glm_median,codex_total,codex_mean,codex_std,codex_median
JunoBench / SSB+CO,270,270,0.4891,0.001811481,0.001056181,0.0015,1.4181,0.005252222,0.003679358,0.0043
JunoBench / SSB,270,270,0.466,0.001725926,0.001126594,0.0014,1.3117,0.004858148,0.003451737,0.0039
JunoBench / SSB-ERR,270,270,0.4989,0.001847778,0.001190254,0.0014,1.2361,0.004578148,0.003227704,0.00395
JunoBench / Agent-lite,270,270,4.179260844,0.015478744,0.026963699,0.00746894,4.2110733,0.015596568,0.016848266,0.009162475
JunoBench / Agent-full,270,270,4.83056677,0.017890988,0.026968492,0.009214636,4.5475108,0.016842633,0.015669097,0.011133675
JunoBench / ALL,1350,1350,10.46382761,0.007750983,0.018563311,0.0025,12.7244841,0.009425544,0.011988022,0.006286175
new / SSB+CO,48,0,0.2012,0.004191667,0.002939231,0.00365,,,,
new / SSB,48,48,0.1561,0.003252083,0.0026537,0.002,0.7274,0.015154167,0.02533797,0.0054
new / SSB-ERR,48,0,0.1816,0.003783333,0.002706284,0.003,,,,
new / Agent-lite,48,48,1.335175801,0.027816163,0.041915636,0.01436398,1.66903345,0.03477153,0.033480989,0.02436245
new / Agent-full,48,48,2.007989773,0.04183312,0.063664169,0.017246654,1.91952495,0.039990103,0.033826119,0.03347435
new / ALL,240,144,3.882065574,0.016175273,0.037413107,0.00465,4.3159584,0.029971933,0.032720534,0.0144333
COMBINED / SSB+CO,318,270,0.6903,0.002170755,0.001719253,0.0016,1.4181,0.005252222,0.003679358,0.0043
COMBINED / SSB,318,318,0.6221,0.001956289,0.00155582,0.0015,2.0391,0.006412264,0.010905375,0.0042
COMBINED / SSB-ERR,318,270,0.6805,0.002139937,0.001664249,0.0015,1.2361,0.004578148,0.003227704,0.00395
COMBINED / Agent-lite,318,318,5.514436645,0.017340996,0.029950151,0.007585608,5.88010675,0.018490902,0.021315565,0.0095942
COMBINED / Agent-full,318,318,6.838556543,0.021504895,0.035941688,0.010060213,6.46703575,0.02033659,0.021139415,0.0120715
COMBINED / ALL,1590,1494,14.34589319,0.009022574,0.022631481,0.002871264,17.0404425,0.011405919,0.016406994,0.0066
,,,,,,,,,,
,,,,,,,,,,
JunoBench/Agents,540,540,9.009827614,0.016684866,,0.008341788,8.7585841,0.0162196,,0.010148075
All/Agents,636,636,12.35299319,0.019422945,,0.008822911,12.3471425,0.019413746,,0.01083285
